,Unnamed: 0,Varietà di Olive,Produzione (tonnellate/ettaro),Tecnica di Coltivazione,Produzione Olio (tonnellate/ettaro),Produzione Olio (litri/ettaro),Min % Resa,Max % Resa,Min Produzione Olio (litri/ettaro),Max Produzione Olio (litri/ettaro),Media Produzione Olio (litri/ettaro),Litri per Tonnellata,Min Litri per Tonnellata,Max Litri per Tonnellata,Media Litri per Tonnellata,Fabbisogno Acqua Primavera (m³/ettaro),Fabbisogno Acqua Estate (m³/ettaro),Fabbisogno Acqua Autunno (m³/ettaro),Fabbisogno Acqua Inverno (m³/ettaro),Fabbisogno Idrico Annuale (m³/ettaro),Temperatura Ottimale,Resistenza alla Siccità
0,0,Nocellara dell'Etna,3.5,Tradizionale,0.7000000000000001,687.7729257641921,0.18,0.22,687.7729257641921,840.6113537117903,764.1921397379913,196.5065502183406,196.5065502183406,240.17467248908292,218.34061135371175,1200,2000,1000,500,4700,18,Media
1,1,Nocellara dell'Etna,5.0,Intensiva,1.0,1091.703056768559,0.18,0.22,982.532751091703,1200.8733624454148,1091.7030567685588,218.3406113537118,196.50655021834055,240.17467248908295,218.34061135371175,1200,2000,1000,500,4700,18,Media
2,2,Nocellara dell'Etna,6.5,Superintensiva,1.3,1561.135371179039,0.18,0.22,1277.292576419214,1561.135371179039,1419.2139737991265,240.17467248908292,196.5065502183406,240.17467248908292,218.34061135371175,1200,2000,1000,500,4700,18,Media
3,6,Leccino,4.0,Tradizionale,0.8,698.6899563318777,0.16,0.2,698.6899563318777,873.3624454148471,786.0262008733624,174.67248908296943,174.67248908296943,218.34061135371175,196.5065502183406,1000,1800,800,400,4000,20,Alta
4,7,Leccino,6.0,Intensiva,1.2000000000000002,1179.0393013100436,0.16,0.2,1048.0349344978165,1310.043668122271,1179.0393013100438,196.5065502183406,174.6724890829694,218.3406113537118,196.5065502183406,1000,1800,800,400,4000,20,Alta
5,8,Leccino,7.5,Superintensiva,1.5,1637.5545851528384,0.16,0.2,1310.043668122271,1637.5545851528384,1473.7991266375543,218.34061135371175,174.67248908296946,218.34061135371175,196.50655021834064,1000,1800,800,400,4000,20,Alta
6,9,Frantoio,5.0,Tradizionale,1.0,1091.703056768559,0.2,0.25,1091.703056768559,1364.6288209606987,1228.165938864629,218.3406113537118,218.3406113537118,272.9257641921397,245.6331877729258,1100,1900,900,450,4350,19,Alta
7,10,Frantoio,7.5,Intensiva,1.5,1883.187772925764,0.2,0.25,1637.5545851528384,2046.943231441048,1842.2489082969432,251.09170305676847,218.34061135371175,272.9257641921397,245.63318777292577,1100,1900,900,450,4350,19,Alta
8,11,Frantoio,9.0,Superintensiva,1.8,2456.331877729257,0.2,0.25,1965.065502183406,2456.331877729257,2210.698689956332,272.9257641921397,218.34061135371175,272.9257641921397,245.6331877729257,1100,1900,900,450,4350,19,Alta
9,15,Coratina,4.5,Tradizionale,0.9,1080.7860262008733,0.22,0.25,1080.7860262008733,1228.1659388646287,1154.475982532751,240.17467248908292,240.17467248908292,272.9257641921397,256.5502183406113,1300,2200,1100,550,5150,17,Media
10,16,Coratina,6.0,Intensiva,1.2000000000000002,1572.0524017467249,0.22,0.25,1441.0480349344978,1637.5545851528384,1539.301310043668,262.0087336244541,240.17467248908292,272.9257641921397,256.55021834061137,1300,2200,1100,550,5150,17,Media
11,17,Coratina,7.0,Superintensiva,1.4,1910.480349344978,0.22,0.25,1681.2227074235807,1910.480349344978,1795.8515283842794,272.9257641921397,240.17467248908292,272.9257641921397,256.55021834061137,1300,2200,1100,550,5150,17,Media
12,21,Taggiasca,2.5,Tradizionale,0.5,463.9737991266376,0.17,0.2,463.9737991266376,545.8515283842795,504.91266375545854,185.58951965065503,185.58951965065503,218.3406113537118,201.96506550218345,1000,1750,800,400,3950,19,Alta
13,22,Taggiasca,4.0,Intensiva,0.8,829.6943231441047,0.17,0.2,742.35807860262,873.3624454148471,807.8602620087336,207.42358078602615,185.589519650655,218.34061135371175,201.9650655021834,1000,1750,800,400,3950,19,Alta
14,23,Taggiasca,6.0,Superintensiva,1.2000000000000002,1310.043668122271,0.17,0.2,1113.53711790393,1310.043668122271,1211.7903930131006,218.3406113537118,185.589519650655,218.3406113537118,201.9650655021834,1000,1750,800,400,3950,19,Alta
15,24,Pendolino,4.0,Tradizionale,0.8,655.0218340611353,0.15,0.18,655.0218340611353,786.0262008733624,720.5240174672489,163.75545851528383,163.75545851528383,196.5065502183406,180.13100436681222,1050,1850,850,430,4180,20,Alta
16,25,Pendolino,5.0,Intensiva,1.0,927.9475982532751,0.15,0.18,818.7772925764192,982.532751091703,900.655021834061,185.58951965065503,163.75545851528383,196.50655021834055,180.1310043668122,1050,1850,850,430,4180,20,Alta
17,26,Pendolino,7.0,Superintensiva,1.4,1375.5458515283842,0.15,0.18,1146.2882096069868,1375.5458515283842,1260.9170305676855,196.5065502183406,163.75545851528383,196.5065502183406,180.13100436681222,1050,1850,850,430,4180,20,Alta
18,27,Moraiolo,3.2,Tradizionale,0.6400000000000001,628.82096069869,0.18,0.22,628.82096069869,768.5589519650656,698.6899563318777,196.5065502183406,196.5065502183406,240.17467248908295,218.34061135371175,1150,2100,900,480,4630,18,Media
19,28,Moraiolo,4.8,Intensiva,0.96,1048.0349344978165,0.18,0.22,943.2314410480348,1152.838427947598,1048.0349344978165,218.34061135371175,196.50655021834055,240.1746724890829,218.3406113537117,1150,2100,900,480,4630,18,Media
20,29,Moraiolo,6.5,Superintensiva,1.3,1561.135371179039,0.18,0.22,1277.292576419214,1561.135371179039,1419.2139737991265,240.17467248908292,196.5065502183406,240.17467248908292,218.34061135371175,1150,2100,900,480,4630,18,Media
