,sim,year,temp_mean,precip_sum,solar_energy_sum,ha,zone,olive_prod,min_oil_prod,max_oil_prod,avg_oil_prod,total_water_need,nocellara_delletna_tech,nocellara_delletna_pct,nocellara_delletna_prod_t_ha,nocellara_delletna_oil_prod_t_ha,nocellara_delletna_oil_prod_l_ha,nocellara_delletna_min_yield_pct,nocellara_delletna_max_yield_pct,nocellara_delletna_min_oil_prod_l_ha,nocellara_delletna_max_oil_prod_l_ha,nocellara_delletna_avg_oil_prod_l_ha,nocellara_delletna_l_per_t,nocellara_delletna_min_l_per_t,nocellara_delletna_max_l_per_t,nocellara_delletna_avg_l_per_t,nocellara_delletna_olive_prod,nocellara_delletna_min_oil_prod,nocellara_delletna_max_oil_prod,nocellara_delletna_avg_oil_prod,nocellara_delletna_water_need,leccino_tech,leccino_pct,leccino_prod_t_ha,leccino_oil_prod_t_ha,leccino_oil_prod_l_ha,leccino_min_yield_pct,leccino_max_yield_pct,leccino_min_oil_prod_l_ha,leccino_max_oil_prod_l_ha,leccino_avg_oil_prod_l_ha,leccino_l_per_t,leccino_min_l_per_t,leccino_max_l_per_t,leccino_avg_l_per_t,leccino_olive_prod,leccino_min_oil_prod,leccino_max_oil_prod,leccino_avg_oil_prod,leccino_water_need,frantoio_tech,frantoio_pct,frantoio_prod_t_ha,frantoio_oil_prod_t_ha,frantoio_oil_prod_l_ha,frantoio_min_yield_pct,frantoio_max_yield_pct,frantoio_min_oil_prod_l_ha,frantoio_max_oil_prod_l_ha,frantoio_avg_oil_prod_l_ha,frantoio_l_per_t,frantoio_min_l_per_t,frantoio_max_l_per_t,frantoio_avg_l_per_t,frantoio_olive_prod,frantoio_min_oil_prod,frantoio_max_oil_prod,frantoio_avg_oil_prod,frantoio_water_need,coratina_tech,coratina_pct,coratina_prod_t_ha,coratina_oil_prod_t_ha,coratina_oil_prod_l_ha,coratina_min_yield_pct,coratina_max_yield_pct,coratina_min_oil_prod_l_ha,coratina_max_oil_prod_l_ha,coratina_avg_oil_prod_l_ha,coratina_l_per_t,coratina_min_l_per_t,coratina_max_l_per_t,coratina_avg_l_per_t,coratina_olive_prod,coratina_min_oil_prod,coratina_max_oil_prod,coratina_avg_oil_prod,coratina_water_need,taggiasca_tech,taggiasca_pct,taggiasca_prod_t_ha,taggiasca_oil_prod_t_ha,taggiasca_oil_prod_l_ha,taggiasca_min_yield_pct,taggiasca_max_yield_pct,taggiasca_min_oil_prod_l_ha,taggiasca_max_oil_prod_l_ha,taggiasca_avg_oil_prod_l_ha,taggiasca_l_per_t,taggiasca_min_l_per_t,taggiasca_max_l_per_t,taggiasca_avg_l_per_t,taggiasca_olive_prod,taggiasca_min_oil_prod,taggiasca_max_oil_prod,taggiasca_avg_oil_prod,taggiasca_water_need,pendolino_tech,pendolino_pct,pendolino_prod_t_ha,pendolino_oil_prod_t_ha,pendolino_oil_prod_l_ha,pendolino_min_yield_pct,pendolino_max_yield_pct,pendolino_min_oil_prod_l_ha,pendolino_max_oil_prod_l_ha,pendolino_avg_oil_prod_l_ha,pendolino_l_per_t,pendolino_min_l_per_t,pendolino_max_l_per_t,pendolino_avg_l_per_t,pendolino_olive_prod,pendolino_min_oil_prod,pendolino_max_oil_prod,pendolino_avg_oil_prod,pendolino_water_need,moraiolo_tech,moraiolo_pct,moraiolo_prod_t_ha,moraiolo_oil_prod_t_ha,moraiolo_oil_prod_l_ha,moraiolo_min_yield_pct,moraiolo_max_yield_pct,moraiolo_min_oil_prod_l_ha,moraiolo_max_oil_prod_l_ha,moraiolo_avg_oil_prod_l_ha,moraiolo_l_per_t,moraiolo_min_l_per_t,moraiolo_max_l_per_t,moraiolo_avg_l_per_t,moraiolo_olive_prod,moraiolo_min_oil_prod,moraiolo_max_oil_prod,moraiolo_avg_oil_prod,moraiolo_water_need
0,0,2022,16.97765091854364,496.0119330643389,5970.106514771952,2.0983441136030097,zone_1,10507.143404643008,2053.985268984503,2493.348806059025,2274.3061757421506,26805.118196725147,intensiva,0.951298918364988,4.947440759087785,0.9793488174718038,1038.6550024798128,0.18126799153929718,0.22045835372056813,989.4541022887399,1203.3752932345421,1096.6854931458088,215.71041400950924,197.89082045774794,240.6750586469084,219.33709862916174,9744.086439663206,1928.2652601561679,2345.1585753264867,2137.2396484674864,25766.483645786615,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,superintensiva,0.04870108163501189,7.04429290038347,1.427372252099658,1325.9342393615068,0.1509186513877155,0.17789268374556821,1153.3084713035028,1359.4419063525954,1257.397199628533,197.32729817772955,164.75835304335754,194.20598662179935,179.6281713755047,763.0569649798009,125.72000882833495,148.19023073253803,137.06652727466414,1038.634550938533,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1998,15.704075432127318,22.353883841239202,5229.567555955501,5.524111209059753,zone_2,24151.30337909256,5741.844179616606,6800.089409384865,6262.708800160665,79883.17356641575,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tradizionale,1.0,4.453907409489385,0.9015976215474731,1117.285262538019,0.21777413773378015,0.2579107968304846,1069.8511133209722,1267.0290237305467,1166.9013948588763,241.86252514186202,237.74469184910492,281.56200527345476,259.31142107975023,24151.30337909256,5741.844179616606,6800.089409384865,6262.708800160665,79883.17356641575,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2008,16.055873782287446,1008.8665194692317,5191.4331206972265,6.726993563673059,zone_3,34157.05151549881,6896.990755790392,8067.60258279495,7497.153815543475,74670.7697657659,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,superintensiva,0.05722782004945219,7.542600946843763,1.5654232161241173,1669.6555343900063,0.1672628572320414,0.20829728780440898,1369.51029393047,1705.4908935950516,1537.820442453662,218.95249930209047,182.6013725240627,227.3987858126735,205.04272566048834,3108.73105402038,567.6585572722973,706.9216671023871,637.4226886617415,3491.8753847705457,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intensiva,0.17692175762281795,4.01705785388303,0.7829233001702628,837.2307072087824,0.17702508939346,0.2002268479772188,773.0353248622707,874.3530479354531,825.0104467275592,203.52816801259468,193.25883121556768,218.58826198386325,206.2526116818898,4936.525665566375,954.02718039301,1079.0665654748877,1018.1713111577441,11198.6075957587,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intensiva,0.76585042232773,4.680116591119005,0.9647257598117877,1070.5253368768624,0.18856533743032564,0.2203586076626263,988.1153053117499,1154.7175947386527,1073.8245813675317,219.73971508050414,205.8573552732812,240.56616557055264,223.71345445156902,26111.794795912057,5375.305018125084,6281.614350217675,5841.559815723989,59980.28678523665
3,3,1984,14.171537512122113,401.32616297084877,5357.153227157343,8.385755281695598,zone_4,53513.017742884,10523.880627884117,12488.228344119445,11527.481977348441,82368.94203486084,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intensiva,0.36413044184574384,6.2202699643258335,1.207424003057253,1148.2188437307389,0.16308624573907105,0.19696673208906396,1068.2505179415132,1290.1751010200696,1181.4697118011327,197.92017730925957,178.04175299025218,215.02918350334494,196.9116186335221,17043.52493365055,3034.4590563202155,3664.8552505017788,3356.068081905922,24897.218479588948,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,superintensiva,0.6358695581542563,6.461994825892695,1.350401543758579,1537.8611864573656,0.188110928644876,0.2216156335387123,1334.8482927856921,1572.6000196524344,1456.4005756320464,236.49584033249224,205.36127581318343,241.93846456191295,224.0616270203148,36469.49280923345,7489.421571563901,8823.373093617667,8171.413895442519,57471.723555271885
4,4,1995,15.000934744757396,173.76302303482845,5281.916045769393,9.801106018788438,zone_5,69530.08906811962,13042.055967643917,16333.588775519253,14669.945183017995,113937.41708785847,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,superintensiva,1.0,6.628805114112834,1.3046925276247356,1531.4000536342191,0.17181803484614624,0.21518119017102907,1219.23278002178,1526.9407599472584,1371.4155262507527,243.18929713255577,187.57427384950464,234.91396306880898,210.98700403857734,69530.08906811962,13042.055967643917,16333.588775519253,14669.945183017995,113937.41708785847
5,5,2011,16.1335082159472,631.8653418738808,6449.660804417322,3.418052338227766,zone_6,17251.84779798538,2743.9942038477902,3266.827349770821,3006.4926807612446,33165.7098699446,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intensiva,1.0,5.224760311828821,0.9647073480929038,967.5326944745929,0.14569446242263365,0.17345468656056184,795.2754499052055,946.8050576449881,871.3538155351492,185.53099431543762,159.0550899810411,189.36101152899758,174.27076310702984,17251.84779798538,2743.9942038477902,3266.827349770821,3006.4926807612446,33165.7098699446,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,2003,16.24594047959561,691.7336134908502,5241.597702200916,2.6606891742073957,zone_7,20150.61305392982,3251.6445939927353,3919.0071364219425,3584.6161308893943,25540.592576039136,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,superintensiva,0.9999999999999999,6.9857074712279745,1.4117879278599836,1408.1218688861998,0.14781220006189688,0.17814894898507347,1129.5692144468103,1361.4002651697754,1245.2381894818927,196.96041955768902,161.3670306352586,194.48575216711077,177.89116992598468,20150.61305392982,3251.6445939927353,3919.0071364219425,3584.6161308893943,25540.592576039136,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,2023,17.0097720912493,573.5505750313592,5550.156989159172,2.033531422652832,zone_8,9389.171132649575,1534.4891104647584,1923.4656837060343,1726.7237119004035,20672.948906663158,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intensiva,0.26528522910747626,5.997254175842379,1.2289753093366858,1187.6640739299103,0.15901991480621344,0.20154972541812255,1041.615162486114,1320.1947079789686,1179.996147488975,200.41854457931407,173.602527081019,220.0324513298281,196.66602458149583,3466.6061616443394,601.8115900560888,762.7658515416903,681.7636526003106,5237.954287663096,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tradizionale,0.7347147708925238,3.8192378575856347,0.8225211585401132,676.5026781993989,0.14425044096212522,0.17951699161893406,629.9145893542585,783.9169939691443,705.7483130473668,165.39630081724002,157.47864733856463,195.97924849228608,176.4370782618417,5922.564971005235,932.6775204086696,1160.6998321643441,1044.9600593000928,15434.994619000063,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,2016,16.374164095994747,356.04758507195135,5590.497438454854,1.6202938543049692,zone_9,8504.93141876722,1643.73166434983,2104.5320567189733,1869.7897382989331,19982.738347484486,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intensiva,1.0,4.644665753522987,0.95984330618299,1039.5380383760223,0.1770335503496262,0.22666277586915629,927.686726722932,1187.7525373056221,1055.2690318031744,221.96371965998338,193.26806806727748,247.4484452720046,219.84771495899457,8504.93141876722,1643.73166434983,2104.5320567189733,1869.7897382989331,19982.738347484486
9,9,2012,16.001718163122394,742.340802741939,6303.679925952609,1.2438639325313514,zone_10,5534.930318909724,1073.1699979789087,1233.3944536825552,1156.3542279145895,14017.022136162996,intensiva,0.6844587596004366,4.857470189295378,0.9531183135061284,1065.7493498143913,0.18428460509567465,0.21082157069435278,1005.9203334916738,1150.772765798869,1081.9231596261732,219.1709862943254,201.1840666983347,230.15455315977377,216.38463192523466,3952.9135310847787,795.26321949051,909.7810474260408,855.3497394560595,10238.291509879684,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intensiva,0.1613846808691063,3.9620992352110753,0.7997971915183912,847.9644063363039,0.1733803795037354,0.1980510008719396,757.1195611516829,864.851532191876,811.9559477948054,204.15938684386234,189.27989028792072,216.21288304796897,202.98898694870135,786.0327641518058,148.78019536136486,169.95041010742617,159.5559945036626,1931.815243560575,tradizionale,0.15415655953045718,3.945223684878036,0.7627382488656423,676.6804261942303,0.1485958846241028,0.1768318210999224,648.8903258694446,772.1913585149449,710.8107185475443,162.74143326341445,162.22258146736115,193.04783962873623,177.70267963688607,795.9840236731393,129.12658312703374,153.66299614908837,141.44849395486742,1846.9153827227371,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
